"","id","trial_number","practice_trial","made_first_choice","made_final_choice","trial_set","order","added_gamble","risky_amount","risky_probability","safe_amount","safe_probability","decoy_amount","decoy_probability","first_left_gamble","first_right_gamble","first_response","first_response_gamble","final_left_gamble","final_right_gamble","final_response","final_response_gamble","random_trial","first_reaction_time","final_reaction_time"
"2680","id0020",132,0,1,1,"safeDecoy","SDR","R",77,0.41,53,0.6,46,0.6,"S","D","f","S","R","S","j","S",0,1224,1363
"2681","id0021",1,1,1,1,"riskyDecoy","DRS","S",87,0.33,44,0.66,87,0.21,"D","R","j","R","R","S","j","S",0,2011,1380
"2682","id0021",2,1,1,1,"safeDecoy","DRS","S",88,0.36,41,0.77,33,0.77,"D","R","f","D","D","S","j","S",0,1219,1054
"2683","id0021",1,0,1,1,"riskyDecoy","DRS","S",100,0.37,54,0.68,100,0.27,"D","R","j","R","R","S","j","S",0,1070,1851
"2684","id0021",2,0,1,1,"safeDecoy","DRS","S",74,0.26,34,0.57,24,0.57,"D","R","f","D","D","S","j","S",0,1300,478
"2685","id0021",3,0,1,1,"riskyDecoy","DSR","R",99,0.25,38,0.66,99,0.15,"D","S","j","S","R","S","j","S",0,729,671
"2686","id0021",4,0,1,1,"safeDecoy","DSR","R",85,0.42,57,0.63,48,0.63,"D","S","j","S","S","R","j","R",0,843,911
"2687","id0021",5,0,1,1,"riskyDecoy","RDS","S",91,0.45,66,0.62,91,0.33,"R","D","f","R","R","S","j","S",0,761,794
"2688","id0021",6,0,1,1,"safeDecoy","RDS","S",81,0.28,29,0.77,22,0.77,"R","D","f","R","R","S","j","S",0,988,924
"2689","id0021",7,0,1,1,"safeDecoy","RSD","D",79,0.35,36,0.77,31,0.77,"R","S","j","S","S","D","f","S",0,1202,843
"2690","id0021",8,0,1,1,"riskyDecoy","RSD","D",74,0.26,31,0.63,74,0.14,"R","S","f","R","D","R","j","R",0,1110,688
"2691","id0021",9,0,1,1,"safeDecoy","SDR","R",99,0.23,37,0.62,28,0.62,"S","D","f","S","S","R","j","R",0,920,1000
"2692","id0021",10,0,1,1,"safeDecoy","SRD","D",80,0.21,28,0.59,23,0.59,"S","R","j","R","R","D","f","R",0,1079,705
"2693","id0021",11,0,1,1,"riskyDecoy","SDR","R",73,0.36,36,0.73,73,0.25,"S","D","j","D","D","R","j","R",0,1666,605
"2694","id0021",12,0,1,1,"safeDecoy","DRS","S",90,0.2,24,0.75,19,0.75,"D","R","j","R","R","S","f","R",0,1168,797
"2695","id0021",13,0,1,1,"safeDecoy","DSR","R",97,0.26,34,0.74,24,0.74,"D","S","j","S","R","S","f","R",0,785,900
"2696","id0021",14,0,1,1,"riskyDecoy","SRD","D",70,0.35,41,0.6,70,0.25,"S","R","j","R","R","D","f","R",0,855,512
"2697","id0021",15,0,1,1,"riskyDecoy","DRS","S",98,0.29,40,0.71,98,0.18,"D","R","j","R","R","S","f","R",0,774,1042
"2698","id0021",16,0,1,1,"safeDecoy","RDS","S",81,0.4,58,0.56,50,0.56,"R","D","f","R","R","S","j","S",0,871,698
"2699","id0021",17,0,1,1,"riskyDecoy","DSR","R",81,0.41,50,0.66,81,0.31,"D","S","f","D","R","D","f","R",0,963,772
"2700","id0021",18,0,1,1,"safeDecoy","RSD","D",87,0.25,31,0.71,21,0.71,"R","S","f","R","R","D","f","R",0,1209,646
"2701","id0021",19,0,1,1,"safeDecoy","SDR","R",78,0.29,32,0.7,26,0.7,"S","D","f","S","R","S","f","R",0,879,498
"2702","id0021",20,0,1,1,"riskyDecoy","RDS","S",83,0.28,38,0.61,83,0.17,"R","D","f","R","S","R","j","R",0,896,588
"2703","id0021",21,0,1,1,"riskyDecoy","RSD","D",82,0.21,30,0.57,82,0.07,"R","S","f","R","D","R","j","R",0,752,569
"2704","id0021",22,0,1,1,"safeDecoy","SRD","D",87,0.26,30,0.75,22,0.75,"S","R","j","R","D","R","j","R",0,763,452
"2705","id0021",23,0,1,1,"riskyDecoy","SDR","R",76,0.33,44,0.57,76,0.22,"S","D","j","D","R","D","f","R",0,1081,555
"2706","id0021",24,0,1,1,"riskyDecoy","SRD","D",99,0.24,33,0.73,99,0.14,"S","R","j","R","D","R","j","R",0,752,597
"2707","id0021",25,0,1,1,"riskyDecoy","DRS","S",75,0.34,43,0.6,75,0.2,"D","R","j","R","S","R","f","S",0,799,1228
"2708","id0021",26,0,1,1,"riskyDecoy","DSR","R",99,0.43,63,0.68,99,0.29,"D","S","f","D","R","D","f","R",0,625,457
"2709","id0021",27,0,1,1,"safeDecoy","DRS","S",82,0.23,24,0.77,17,0.77,"D","R","j","R","R","S","f","R",0,644,720
"2710","id0021",28,0,1,1,"safeDecoy","DSR","R",95,0.28,36,0.74,30,0.74,"D","S","j","S","R","S","f","R",0,1004,642
"2711","id0021",29,0,1,1,"riskyDecoy","RDS","S",71,0.28,25,0.79,71,0.14,"R","D","f","R","S","R","j","R",0,917,528
"2712","id0021",30,0,1,1,"riskyDecoy","RSD","D",76,0.43,58,0.56,76,0.33,"R","S","f","R","D","R","j","R",0,883,827
"2713","id0021",31,0,1,1,"safeDecoy","RDS","S",80,0.42,57,0.59,48,0.59,"R","D","f","R","R","S","f","R",0,806,532
"2714","id0021",32,0,1,1,"riskyDecoy","SDR","R",95,0.23,30,0.73,95,0.11,"S","D","j","D","D","R","j","R",0,845,542
"2715","id0021",33,0,1,1,"riskyDecoy","SRD","D",91,0.26,35,0.67,91,0.12,"S","R","j","R","R","D","f","R",0,750,787
"2716","id0021",34,0,1,1,"safeDecoy","RSD","D",77,0.28,33,0.65,25,0.65,"R","S","f","R","D","R","j","R",1,824,544
"2717","id0021",35,0,1,1,"riskyDecoy","DRS","S",92,0.25,33,0.7,92,0.11,"D","R","j","R","S","R","j","R",0,916,546
"2718","id0021",36,0,1,1,"riskyDecoy","DSR","R",99,0.32,41,0.78,99,0.21,"D","S","f","D","R","D","f","R",0,745,502
"2719","id0021",37,0,1,1,"riskyDecoy","RDS","S",82,0.3,33,0.75,82,0.18,"R","D","f","R","R","S","f","R",0,622,635
"2720","id0021",38,0,1,1,"safeDecoy","SDR","R",73,0.45,58,0.57,50,0.57,"S","D","f","S","S","R","j","R",0,713,910
"2721","id0021",39,0,1,1,"riskyDecoy","RSD","D",95,0.21,31,0.64,95,0.11,"R","S","f","R","R","D","f","R",0,612,559
"2722","id0021",40,0,1,1,"safeDecoy","SRD","D",84,0.4,53,0.64,43,0.64,"S","R","f","S","D","S","j","S",1,991,617
